채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
34589006,1년 이상,"음식료, 매장관리, 식품판매",0,오색만찬오봉도시락,[주5일근무] 오봉도시락 및 오색만찬 직영점 매장직원 모집,,경력,240000,학력무관,2020-01-16,2020
37744999,,"통신기기대리점, 판매",0,리안커뮤니티,kt 공식 대리점 원종동;고강동 영업부 직원 고용합니다,,관계없음,240000,학력무관,2021-04-02,2021
34678869,,"여신, 문서관리, 문서수발",0,㈜오아시스,저축은행 전산접수 / 인증접수 신입사원 및 경력자,,관계없음,240000,학력무관,2020-01-29,2020
34593404,1년 이상,"자동제어, 전기제어, 전장",0,미래 ATS,자동제어 신입;경력직원 모집,,경력,240000,대졸(4년),2020-01-16,2020
37055732,1년 이상,"경비, 주차관제",0,캡스텍 경인지사,이천 고담동 보안&주차관리모집[월240만원;세전]주주휴휴,,경력,240000,고졸,2021-01-02,2021
34663153,,"보험영업, 손해보험, 자동차보험",0,흥국화재 일산TFC지점,[흥국화재 일산/월기본 250만원이상] 홈쇼핑 고객 DB/ 기계약 DB 제공/ 지인영업 X.개척영업 X,,관계없음,240000,학력무관,2020-01-27,2020
34852854,3년 이상,"보습학원, 학원강사, 관리",0,한수위학원,한수위 하이런 선생님 모집합니다.,,경력,240000,대졸(2~3년),2020-02-27,2020
34921689,,"전자, 전장, FPCB",0,㈜워크인,화성시 향남/대차조립/사원모집(주간),,관계없음,240000,학력무관,2020-02-27,2020
34664160,,"보험영업, 손해보험, 자동차보험",0,흥국화재 일산TFC지점,[흥국화재 일산/월기본 250만원이상] 홈쇼핑 고객 DB/ 기계약 DB 제공/ 지인영업 X.개척영업 X,,관계없음,240000,학력무관,2020-01-28,2020
34685840,,"전자, 전장, FPCB",0,㈜워크인,화성시 향남/자재입출고 지게차/대차조립/사원모집(주간),,관계없음,240000,학력무관,2020-01-30,2020
39588301,1년 이상,"어학원, 영어학원, 교육",0,㈜서강대학교오산에스엘피,영어 유초 / 초중등 교사 모집,학원·어학원·교육원; 인사·노무·교육; 초중고·특수학교; 보습학원·입시학원; 외국어교육,경력,240000,대졸(4년),2021-11-02,2021
39588318,1년 이상,수학,0,㈜서강대학교오산에스엘피,수학 교사 모집 (파트 가능),학원·어학원·교육원; 보습학원·입시학원,경력,240000,대졸(4년),2021-11-02,2021
34931324,1년 이상,"가구, 생산, 생산관리",0,㈜태성시스템,스펀지 생산포장 / 사원 大 모집 / 주급가능 / 초보자가능,,경력,240000,고졸,2020-02-28,2020
39321545,,"식품, 양식당, 음식료",0,문스,[주5일; MOONS 용인 보정동] 문스 주방-정규직; 홀-매니저 를 모집합니다.,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,240000,학력무관,2021-10-02,2021
34663344,,"식품, 프랜차이즈, 피자점",0,한스크래프트,크래프트한스 /평촌점 /범계점 수제맥주전문점 직원구해잉,,관계없음,240000,학력무관,2020-01-28,2020
34663346,,"식품, 프랜차이즈, 피자점",0,한스크래프트,크래프트한스 /평촌점 /범계점 수제맥주전문점 직원구해잉용,,관계없음,240000,학력무관,2020-01-28,2020
34684525,,"메뉴기획, 식품, 와인바",0,소봉식당,시흥 은행동 센트럴톰그랑트리에 위치한 김소봉셰프의 소봉식당(일본가정식)에서 직원모집중입니다,,관계없음,240000,학력무관,2020-01-30,2020
34590944,1년 이상,"건설자재, 건축자재, 금속가공",0,㈜동광레이저,레이저프로그래머 모집,,경력,240000,학력무관,2020-01-16,2020
34663701,3년 이상,"식품가공, 제조",0,엘씨에프앤비,제과제빵 생산직 모집,,경력,240000,학력무관,2020-01-28,2020
34684826,,"식품, 프랜차이즈, 식품영업",0,제이에스케이(J.S.K)푸드,홍보및 영업 주5일근무 남여 사원 모집합니다,,관계없음,240000,학력무관,2020-01-30,2020
34643335,1년 이상,"음식료, 매장관리, 식품판매",0,오색만찬오봉도시락,[주5일근무] 오봉도시락 및 오색만찬 직영점 매장직원 모집,,경력,240000,학력무관,2020-01-23,2020
34690324,,"건설자재, 용접, 간판·판넬",0,대해디자인,대해디자인 직원 채용,,관계없음,240000,학력무관,2020-01-30,2020
34690339,2년 이상,회계,0,㈜대주기업,회계팀 정규직 모집,,경력,240000,대졸(4년),2020-01-30,2020
34679978,,"보험영업, 손해보험, 자동차보험",0,흥국화재 일산TFC지점,[흥국화재 일산/월기본 250만원이상] 홈쇼핑 고객 DB/ 기계약 DB 제공/ 지인영업 X.개척영업 X,,관계없음,240000,학력무관,2020-01-29,2020
34862980,1년 이상,"배송, 입출고관리, 택배",0,㈜서광유통,멕시카나치킨 인천남지사 배송직원 채용,,경력,240000,고졸,2020-02-28,2020
36619067,,"물류, 물류센터, 입출고관리",0,더샵지엘에스㈜,더샵지엘에스(주) 군포물류센터 정규직사원(신입;경력) 모집,,관계없음,240000,고졸,2020-11-02,2020
36619803,1년 이상,"양식당, 요리사, 조리사",0,제미(스테이크9(Steak9),별내 양식 스테이크나인(STEAK9)에서 주방직원을 모집합니다.,,경력,240000,학력무관,2020-11-02,2020
34664788,,홀써빙,0,퓨전레스토랑달보드레.블루에블랑,퓨전 레스토랑 달보드레에서 새로운 가족을 모십니다,,관계없음,240000,학력무관,2020-01-28,2020
34921634,,"메카트로닉스, 자동차, 자동차부품",0,주식회사 피플투컴퍼니,2교대300만/주간240만/사출/증착/검사/자재/물류320만/피더,,신입,240000,학력무관,2020-02-27,2020
