채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
39321842,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 채용,증권·보험·카드; 금융·보험영업; 법인영업; 영업관리·지원·영업기획,관계없음,300000,고졸,2021-10-02,2021
39588487,,"생명보험, 손해보험, 손해사정",0,디비손해보험 주식회사,[서울역-짧은근무시간] 본사직영 보상처리 신입/경력 담당자 채용,증권·보험·카드; 금융·보험영업; 아웃바운드TM; 법인영업,관계없음,300000,학력무관,2021-11-02,2021
37051898,1년 이상,"포장, 공정관리, 생산관리",0,주식회사에스엠에스플러스,시화공단(2교대;상여600)자동차 부품 생산;연마;cnc업무,,경력,300000,학력무관,2021-01-03,2021
38805464,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 채용,,관계없음,300000,고졸,2021-08-01,2021
37274835,,"전자, PCB, SMT",0,한국SMT,한국SMT파주 공장 생산직(남녀)사원 2교대 모집(주5일;월평균300;식사 무료 제공;사내 기숙사),,관계없음,300000,고졸,2021-02-02,2021
37146256,,"보험영업, 손해보험, 화재보험",0,메리츠화재해상보험,최고의 수수료로 즐겁게 일하실 신입 및 경력자를 모집합니다. -메리츠화재 일산본부-,,관계없음,300000,고졸,2021-02-03,2021
37466739,,"보험영업, 생명보험, 손해보험",0,DB손해보험,[서울역 위치] 본사직영 보상처리 담당자 채용 공고,,관계없음,300000,학력무관,2021-03-01,2021
37363149,3년 이상,"양식당, 카페, 프랜차이즈",0,카페델씨엘로,화덕피자 / 파스타 파트 쉐프를 모집합니다,,경력,300000,고졸,2021-03-02,2021
37057952,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 모집,,관계없음,300000,고졸,2021-01-03,2021
39322754,,"중식당, 요리사, Chef",0,베이징,분당 중식당 베이징 주방 직원 구합니다.,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,300000,학력무관,2021-10-03,2021
39308718,,설치,0,삼우  에프앤지,삼성전자 가전설치기사를 구합니다.,물류·운송·배송; 설치·정비·A/S,관계없음,300000,학력무관,2021-10-01,2021
38954236,,"식품가공, 생산직, 제조",0,㈜견우푸드,[견우푸드] 생산직 신입 및 경력 정규직 채용,식품가공; 생산·제조·설비·조립; 포장·가공,관계없음,297000,학력무관,2021-09-01,2021
38819418,,"물류, 물류센터, 물류관리",0,제이엠피,GS물류센터 분류 피킹 업무 남/여 직원 및 알바 모집,,관계없음,295000,학력무관,2021-08-03,2021
39572751,,스포츠,0,골마켓 구리.남양주점,골마켓 구리남양주점에서 새로운 판매직원과 시간제알바 구해요,스포츠·여가·레저; 레저·스포츠,관계없음,295000,학력무관,2021-11-01,2021
38759801,,"물류, 물류센터, 물류관리",0,제이엠피,이천GS물류센터 남/여 사원 및 알바 모집,,관계없음,295000,학력무관,2021-08-03,2021
37999334,1년 이상,"건설, 건설안전, 건설현장",0,와이앤피,주식회사 와이앤피테크 동문건설 안전감시단 채용공고,,경력,295000,고졸,2021-05-01,2021
39600431,1년 이상,"뷔페, 요리사, 일식",0,쿠우쿠우 계양점,정직원 모집 ( 스시 / 핫/중식 파트 / 롤 / 샐러드 ),음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,경력,295000,학력무관,2021-11-03,2021
39323848,1년 이상,"유통, 창고관리, 상품입출고",0,가우비에프,물류; 재고관리(바코드구축 및 유지관리) 모집,백화점·유통·도소매; 유통·물류·재고; 구매·자재,경력,295000,학력무관,2021-10-03,2021
39587592,1년 이상,"유통, 물류, 자재구매",0,오션브릿지주식회사,식자재 납품 주5일 직원 모집 합니다.,백화점·유통·도소매; 배송·택배·운송; 유통·물류·재고,경력,290000,고졸,2021-11-02,2021
37991062,1년 이상,"자동차부품, 생산, 품질",0,주식회사 태화솔루션,[자동차부품]공정검사; 3차원측정 2교대(상여금지급/통근버스),,경력,290000,고졸,2021-05-01,2021
38277895,,"생활체육, 스포츠, 스포츠센터",0,코치짐,코치짐 휘트니스 구리점 회원권 상담부서 FC직원 채용,,관계없음,290000,학력무관,2021-06-03,2021
37054783,,"양식당, 요리사, 조리사",0,열세테이블,다산 열세테이블에서 실장구합니다,,관계없음,290000,학력무관,2021-01-01,2021
39308529,,"중식당, 조리사, 주방보조",0,형제,홍콩식당 꺼거에서 함께할 팀원을 모집합니다 (서울 용산; 분당 정자),음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,신입,290000,학력무관,2021-10-01,2021
39322729,1년 이상,"뷔페, 요리사, 조리사",0,쿠우쿠우평내호평점,쿠우쿠우 평내호평점에서 핫푸드(중식)신입 및 경력자 모집합니다.,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,경력,290000,학력무관,2021-10-03,2021
38001288,,"조리사, 구내식당, 한식당",0,정이품정육식당,정이품 정육식당 조리부 과장 모집,,관계없음,290000,고졸,2021-05-01,2021
39571268,,"프랜차이즈, 한식당, 매니저",0,청년키친,정왕족발1980에서 새식구를 맞이하고 있어요,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,290000,학력무관,2021-10-31,2021
